id,isbn,titulo,autor,data_publicacao,generos,preco,paginas
1,9783972688838,O Segredo do Destino,Lucas Gomes,1997-06-20,Tecnologia|Mistério|Comédia,164.81,163
2,9782335235444,Contos do Amanhã,Carlos Pereira,1981-10-06,Comédia|Drama,110.24,1124
3,9784636723708,O Caminho do Destino,Marcos Ribeiro,2010-03-12,Ficção|Comédia|Suspense,206.14,287
4,9788908331009,Luzes do Tempo,Thiago Carvalho,1991-03-04,Aventura,130.79,861
5,9786627230474,Memórias da Meia-Noite,Gabriel Alves,1990-05-25,Fantasia|Terror|Aventura,124.34,1061
6,9782210688599,O Caminho do Amanhã,Thiago Ribeiro,1992-03-04,Aventura,63.88,284
7,9780051377324,O Guia do Dragão,Julia Santos,2002-10-25,Aventura|Comédia|Tecnologia,105.77,1011
8,9783059256713,Sombras da Magia,Lucas Carvalho,1991-08-11,Filosofia|Fantasia,210.48,177
9,9781670656811,Vozes do Amanhã,Lucas Costa,2005-11-24,Fantasia|Filosofia,69.18,169
10,9788682432133,Sussurros da Alma,Gabriel Gomes,2018-09-28,História|Ficção|Terror,168.87,505
11,9789619440997,Fragmentos da Alma,Marcos Pereira,2010-11-12,Fantasia,35.13,617
12,9784502204695,O Segredo do Amanhã,Laura Alves,2001-05-19,Ficção,22.27,684
13,9788629804937,A Lenda da Alma,Marcos Martins,2005-09-28,Ficção|História|Fantasia,119.63,666
14,9785952128362,Sussurros da Magia,João Pereira,2005-02-20,Romance|Mistério,157.12,330
15,9783510616067,O Caminho do Destino,Mariana Pereira,1984-04-24,Mistério|Ficção|História,49.36,313
16,9780714347121,O Caminho Esquecido,João Silva,2025-11-15,Terror,22.76,428
17,9783742439813,O Guia do Dragão,Mariana Lima,1991-10-25,Mistério|Fantasia,88.54,580
18,9780734418506,O Segredo do Amanhã,Carlos Carvalho,1991-05-14,Drama,146.13,1000
19,9789959666531,Sussurros da Escuridão,Julia Silva,1988-07-06,Ficção|Aventura,31.23,998
20,9785135791891,O Mistério do Amanhã,Marcos Ferreira,2016-11-05,Aventura,114.13,866
21,9786576371538,Sussurros de Fogo,Mariana Ferreira,1982-09-14,Comédia|Ciência|Drama,98.33,720
22,9784595690542,O Mistério da Alma,Lucas Souza,2024-08-05,História|Filosofia|Terror,146.89,982
23,9782204237896,Sombras da Cidade,Camila Ferreira,2008-10-17,Mistério|Drama|História,232.46,686
24,9788263894084,História Perdido,Thiago Souza,1990-04-29,Romance|Aventura|História,24.32,678
25,9788576088235,Contos de Fogo,Thiago Souza,2000-09-25,Romance,196.62,950
26,9787780903980,A Lenda Estelar,Maria Lima,1985-08-23,Biografia|Terror|Fantasia,219.95,802
27,9781139928240,Contos da Meia-Noite,Carlos Souza,2011-06-04,Ficção|Drama|Suspense,47.16,1177
28,9786449039405,Fragmentos da Cidade,Rafael Santos,2009-11-12,Comédia|Romance|Biografia,99.59,1163
29,9787754793011,Fragmentos Estelar,Maria Ribeiro,1981-12-12,Comédia|Tecnologia|Romance,179.38,615
30,9780558113939,Ecos da Cidade,Beatriz Martins,2006-06-20,Drama|Romance|História,43.9,788
31,9782102024173,Sombras da Magia,Ana Ribeiro,1991-04-25,Tecnologia|Ciência,163.35,852
32,9783438791842,Crônicas Esquecido,Rafael Souza,1982-03-30,Ciência,186.09,1150
33,9782068811503,Contos de Gelo,Lucas Oliveira,2025-01-11,Biografia|Aventura|Terror,57.65,959
34,9784481906176,Sussurros de Gelo,Gabriel Alves,1983-07-22,História,119.74,225
35,9786539358253,Contos Imortal,Pedro Carvalho,2023-11-09,Suspense,55.52,820
36,9780531511782,O Guia da Alma,Thiago Ferreira,2005-04-26,Biografia|Fantasia,230.5,337
37,9780202618883,Sombras da Magia,João Santos,1986-12-10,Romance|História|Comédia,66.33,265
38,9786393589153,Contos Estelar,Gabriel Melo,1999-03-12,Drama|Comédia,127.64,521
39,9787564197289,Fragmentos de Gelo,Camila Alves,2002-09-03,Suspense,193.22,742
40,9781662278647,Vozes Perdido,Beatriz Ribeiro,2009-07-04,Fantasia|Romance|Biografia,202.91,1002
41,9784077017037,O Mistério do Destino,Ana Ferreira,2020-06-07,Tecnologia|Suspense,33.97,1157
42,9788195479092,Vozes da Magia,Marcos Carvalho,1980-05-02,Ficção|Romance,34.64,502
43,9780818484757,Fragmentos Esquecido,Ana Oliveira,2020-05-09,Drama,207.19,414
44,9781310892396,A Jornada Imortal,Thiago Oliveira,1993-07-02,Biografia|Drama,178.14,532
45,9789986308212,Ecos do Tempo,Julia Lima,2022-07-06,Suspense|Aventura,186.37,265
46,9788682165172,Sombras do Dragão,Camila Carvalho,1994-12-18,Tecnologia|Drama|Ciência,168.83,912
47,9789411497174,Crônicas do Amanhã,Lucas Lima,2018-01-04,Mistério|Ficção,115.57,1098
